rule_name, switch_id, tcp_src, tcp_dst, out_port
rule_s1_46110_to_5201_out_2, 00:00:00:00:00:00:00:01, 46110, 5201, controller
rule_s2_46110_to_5201_out_4, 00:00:00:00:00:00:00:02, 46110, 5201, controller
rule_s3_46110_to_5201_out_1, 00:00:00:00:00:00:00:03, 46110, 5201, controller
rule_s4_46110_to_5201_out_3, 00:00:00:00:00:00:00:04, 46110, 5201, controller
rule_s5_46110_to_5201_out_2, 00:00:00:00:00:00:00:05, 46110, 5201, controller
rule_s1_46112_to_5202_out_2, 00:00:00:00:00:00:00:01, 46112, 5202, controller
rule_s2_46112_to_5202_out_4, 00:00:00:00:00:00:00:02, 46112, 5202, controller
rule_s3_46112_to_5202_out_1, 00:00:00:00:00:00:00:03, 46112, 5202, controller
rule_s4_46112_to_5201_out_3, 00:00:00:00:00:00:00:04, 46110, 5201, controller
rule_s5_46112_to_5201_out_2, 00:00:00:00:00:00:00:05, 46110, 5201, controller
rule_s1_46114_to_5203_out_2, 00:00:00:00:00:00:00:01, 46114, 5203, controller
rule_s2_46114_to_5203_out_4, 00:00:00:00:00:00:00:02, 46114, 5203, controller
rule_s3_46114_to_5203_out_1, 00:00:00:00:00:00:00:03, 46114, 5203, controller
rule_s4_46114_to_5201_out_3, 00:00:00:00:00:00:00:04, 46110, 5201, controller
rule_s5_46114_to_5201_out_2, 00:00:00:00:00:00:00:05, 46110, 5201, controller
