Port number, Flow completion time (sec), transfered (MBytes), bandwidth (Mbps), Retries, Iter
5202, 242.51, 95.3, 3.29, -1, 2
46114, 369.0, 100.0, 2.28, 1777.0, 1
5201, 387.86, 94.7, 2.05, -1, 0
5203, 313.0, 91.8, 2.46, -1, 3
46116, 337.0, 101.0, 2.51, 1046.0, 2
46116, 372.01, 101.0, 2.28, 1766.0, 3
46112, 342.0, 100.0, 2.46, 1479.0, 4
5203, 324.39, 95.9, 2.48, -1, 2
5201, 393.06, 94.4, 2.01, -1, 1
46114, 335.0, 100.0, 2.51, 2943.0, 0
5202, 362.6, 93.3, 2.16, -1, 3
5202, 371.81, 93.6, 2.11, -1, 1
46114, 323.0, 100.0, 2.6, 1168.0, 2
5201, 322.65, 94.0, 2.44, -1, 3
5203, 336.45, 94.6, 2.36, -1, 0
46116, 365.0, 100.0, 2.3, 1912.0, 1
46116, 372.0, 101.0, 2.27, 2744.0, 0
5203, 369.87, 96.5, 2.19, -1, 1
5204, 321.67, 96.3, 2.51, -1, 4
46110, 285.0, 100.0, 2.95, 1359.0, 4
5201, 347.93, 95.4, 2.3, -1, 2
46114, 311.0, 100.0, 2.7, 2026.0, 3
5202, 342.79, 93.5, 2.29, -1, 0
5202, 343.47, 94.4, 2.3, -1, 4
46110, 387.0, 101.0, 2.18, 1487.0, 0
5204, 373.31, 94.1, 2.11, -1, 0
46112, 361.0, 101.0, 2.34, 2212.0, 3
46116, 320.0, 100.0, 2.63, 1391.0, 4
46112, 241.0, 100.0, 3.49, 1467.0, 2
5204, 366.04, 95.4, 2.19, -1, 1
5203, 360.92, 96.9, 2.25, -1, 4
46110, 392.0, 101.0, 2.17, 2227.0, 1
46114, 359.98, 101.0, 2.35, 1511.0, 4
46110, 321.0, 100.0, 2.62, 2662.0, 3
5204, 373.08, 93.8, 2.11, -1, 3
46112, 341.0, 100.0, 2.46, 2651.0, 0
46112, 371.0, 100.0, 2.27, 2699.0, 1
5204, 338.52, 95.0, 2.35, -1, 2
46110, 347.0, 100.0, 2.43, 1898.0, 2
5201, 286.45, 95.6, 2.8, -1, 4
