Time (sec), Size(Mbytes)
 39.82,  7.43
 34.0,  10.1
 18.0,  10.2
 34.81,  8.35
 25.88,  7.87
 28.0,  10.1
 29.0,  10.5
 25.79,  8.03
 32.15,  7.2
 23.0,  10.3
 33.95,  10.4
 25.0,  10.3
 25.0,  10.2
 31.01,  10.1
 38.0,  11.2
 26.68,  10.9
 29.0,  10.0
 38.84,  7.04
 35.0,  11.1
 26.84,  10.4
 30.17,  6.55
 27.17,  7.49
 27.43,  7.26
 37.0,  10.9
 35.84,  8.14
 24.12,  7.81
 29.28,  7.65
 27.0,  10.2
 29.38,  7.22
 19.1,  6.9
 27.63,  8.2
 20.0,  10.4
 14.54,  6.55
 34.76,  9.05
 20.92,  8.12
 11.0,  10.6
 13.0,  10.9
 21.29,  5.76
 12.4,  7.67
 20.0,  10.4
 142.37,  46.1
 219.53,  46.5
 151.64,  47.3
 203.66,  46.6
 171.33,  46.7
 150.0,  50.1
 138.0,  50.1
 168.32,  46.7
 145.74,  45.0
 106.0,  50.7
 167.0,  50.3
 139.23,  44.7
 132.77,  44.1
 107.71,  44.4
 144.0,  50.0
 177.7,  45.8
 195.0,  50.8
 178.0,  50.1
 246.0,  50.1
 171.96,  51.2
 179.56,  45.9
 177.0,  50.7
 195.75,  45.7
 173.06,  46.8
 247.19,  43.5
 250.0,  50.3
 166.0,  50.1
 190.0,  51.0
 197.0,  50.7
 174.0,  50.5
 131.0,  50.1
 175.51,  44.6
 170.0,  50.2
 250.38,  47.0
 167.36,  44.1
 203.0,  50.6
 218.0,  50.1
 191.22,  45.4
 198.42,  46.7
 141.0,  50.3
 242.51,  95.3
 369.0,  100.0
 387.86,  94.7
 313.0,  91.8
 337.0,  101.0
 372.01,  101.0
 342.0,  100.0
 324.39,  95.9
 393.06,  94.4
 335.0,  100.0
 362.6,  93.3
 371.81,  93.6
 323.0,  100.0
 322.65,  94.0
 336.45,  94.6
 365.0,  100.0
 372.0,  101.0
 369.87,  96.5
 321.67,  96.3
 285.0,  100.0
 347.93,  95.4
 311.0,  100.0
 342.79,  93.5
 343.47,  94.4
 387.0,  101.0
 373.31,  94.1
 361.0,  101.0
 320.0,  100.0
 241.0,  100.0
 366.04,  95.4
 360.92,  96.9
 392.0,  101.0
 359.98,  101.0
 321.0,  100.0
 373.08,  93.8
 341.0,  100.0
 371.0,  100.0
 338.52,  95.0
 347.0,  100.0
 286.45,  95.6
 488.14,  194.0
 672.43,  195.0
 627.0,  200.0
 678.0,  200.0
 714.74,  194.0
 699.0,  200.0
 530.5,  191.0
 640.0,  201.0
 648.0,  200.0
 643.45,  194.0
 527.57,  191.0
 715.56,  193.0
 537.0,  201.0
 383.77,  186.0
 529.0,  200.0
 700.0,  201.0
 642.95,  194.0
 649.18,  193.0
 628.28,  192.0
 620.0,  200.0
 714.0,  201.0
 338.33,  185.0
 548.43,  193.0
 487.54,  201.0
 700.82,  196.0
 621.18,  195.0
 642.0,  200.0
 671.0,  200.0
 701.18,  190.0
 642.0,  200.0
 700.15,  195.0
 526.0,  200.0
 538.17,  191.0
 714.0,  200.0
 641.4,  195.0
 337.0,  200.0
 382.0,  200.0
 679.1,  195.0
 700.0,  200.0
 547.0,  200.0
 1237.0,  500.0
 1748.93,  488.0
 1363.0,  500.0
 1846.0,  501.0
 1581.84,  493.0
 1497.07,  488.0
 1574.0,  488.0
 1693.0,  501.0
 1639.15,  501.0
 963.0,  500.0
 1495.0,  500.0
 1702.0,  500.0
 1337.82,  492.0
 1648.0,  485.0
 1313.0,  500.0
 1473.28,  490.0
 1619.0,  500.0
 1238.5,  492.0
 1411.0,  500.0
 1696.65,  487.0
 1648.0,  500.0
 1851.65,  492.0
 1384.94,  485.0
 1746.0,  501.0
 1337.0,  500.0
 1847.82,  493.0
 1719.0,  501.0
 1639.97,  491.0
 964.73,  491.0
 1383.0,  500.0
 1314.32,  493.0
 1574.0,  500.0
 1720.22,  493.0
 1365.35,  490.0
 1412.83,  494.0
 1580.0,  501.0
 1703.08,  496.0
 1851.0,  501.0
 1620.83,  487.0
 1471.0,  501.0
