agent, num_iperfs, interval, workload, time, memory, iter
het-B_HET_LA,8,5,25_75,4290.515245,4084.15234375,0
het-B_HET_LA,8,5,50_50,7108.641381,4251.3095703125,0
het-B_HET_LA,8,5,75_25,7094.207284,4251.4013671875,0
het-B_HET_LA,8,10,25_75,10667.635424,4272.830078125,0
het-B_HET_LA,8,10,50_50,5038.815037,4181.958984375,0
het-B_HET_LA,8,10,75_25,4235.827399,4196.9365234375,0
het-B_HET_LA,8,15,25_75,14259.368649,4292.421875,0
het-B_HET_LA,8,15,50_50,10646.973747,4274.3623046875,0
het-B_HET_LA,8,15,75_25,4978.490455,4147.861328125,0
het-B_HET,8,5,25_75,4278.008171,4132.3193359375,0
het-B_HET,8,5,50_50,3554.029861,4029.060546875,0
het-B_HET,8,5,75_25,5712.256072,4195.9892578125,0
het-B_HET,8,10,25_75,4253.66821,4073.0498046875,0
het-B_HET,8,10,50_50,4340.78766,4077.857421875,0
het-B_HET,8,10,75_25,5672.859964,4148.20703125,0
het-B_HET,8,15,25_75,5645.317386,4148.5341796875,0
het-B_HET,8,15,50_50,5663.907646,4160.05078125,0
het-B_HET,8,15,75_25,7349.088823,4227.3662109375,0
