A1,2,10M,15,5
A1,2,50M,25,5
A1,2,100M,35,5
A1,2,500M,145,5
A1,4,10M,200,5
A1,4,50M,200,5
A1,4,100M,500,5
A1,4,500M,1000,5
A1,8,10M,200,5
A1,8,50M,200,5
A1,8,100M,500,5
A1,8,500M,1000,5
B1,2,10M,15,5
B1,2,50M,25,5
B1,2,100M,35,5
B1,2,500M,145,5
B1,4,10M,200,5
B1,4,50M,200,5
B1,4,100M,500,5
B1,4,500M,1000,5
B1,8,10M,200,5
B1,8,50M,200,5
B1,8,100M,500,5
B1,8,500M,1000,5
B2,2,10M,15,5
B2,2,50M,25,5
B2,2,100M,35,5
B2,2,500M,145,5
B2,4,10M,200,5
B2,4,50M,200,5
B2,4,100M,500,5
B2,4,500M,1000,5
B2,8,10M,200,5
B2,8,50M,200,5
B2,8,100M,500,5
B2,8,500M,1000,5
D1,2,10M,15,5
D1,2,50M,25,5
D1,2,100M,35,5
D1,2,500M,145,5
D1,4,10M,200,5
D1,4,50M,200,5
D1,4,100M,500,5
D1,4,500M,1000,5
D1,8,10M,200,5
D1,8,50M,200,5
D1,8,100M,500,5
D1,8,500M,1000,5
